model,feature_no,best_score,best_params
CART,5,0.6004936030784338,"{'max_depth': 4, 'max_features': 'auto', 'min_samples_leaf': 3}"
CART,10,0.6516611605037024,"{'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 5}"
CART,15,0.8025691916836081,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1}"
CART,20,0.9194629631412345,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1}"
CART,25,0.939335584807016,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1}"
adaboost,5,0.5996569755281321,"{'algorithm': 'SAMME', 'learning_rate': 0.01, 'n_estimators': 50}"
adaboost,10,0.6061004026573107,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 250}"
adaboost,15,0.6068536282477974,"{'algorithm': 'SAMME.R', 'learning_rate': 0.025, 'n_estimators': 1000}"
adaboost,20,0.6102842230271672,"{'algorithm': 'SAMME.R', 'learning_rate': 0.75, 'n_estimators': 75}"
adaboost,25,0.6304500905344463,"{'algorithm': 'SAMME', 'learning_rate': 0.75, 'n_estimators': 250}"
logistic_regression,5,0.5996569755281321,"{'C': 0.06, 'penalty': 'l2', 'solver': 'newton-cg'}"
logistic_regression,10,0.6055148123805966,"{'C': 0.06, 'penalty': 'l2', 'solver': 'liblinear'}"
logistic_regression,15,0.6057240349045516,"{'C': 0.1, 'penalty': 'l2', 'solver': 'newton-cg'}"
logistic_regression,20,0.6109117943323423,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}"
logistic_regression,25,0.6303245500188596,"{'C': 0.06, 'penalty': 'l2', 'solver': 'liblinear'}"
random_forest,5,0.6004517620742497,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50}"
random_forest,10,0.6524142723244643,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'n_estimators': 100}"
random_forest,15,0.8118153797414627,"{'criterion': 'gini', 'max_depth': 18, 'max_features': 'log2', 'n_estimators': 100}"
random_forest,20,0.9435613949568505,"{'criterion': 'gini', 'max_depth': 19, 'max_features': 'sqrt', 'n_estimators': 1000}"
random_forest,25,0.9756087074096472,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'n_estimators': 250}"
